"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\WorkSpace\Restaurant\app\api-error.js", "JavaScript", 8, 0, 1, 9
"d:\WorkSpace\Restaurant\app\config\index.js", "JavaScript", 9, 0, 1, 10
"d:\WorkSpace\Restaurant\app\controllers\account.controller.js", "JavaScript", 51, 0, 5, 56
"d:\WorkSpace\Restaurant\app\controllers\client.controller.js", "JavaScript", 51, 0, 7, 58
"d:\WorkSpace\Restaurant\app\controllers\contact.controller.js", "JavaScript", 63, 0, 9, 72
"d:\WorkSpace\Restaurant\app\controllers\cost.controller.js", "JavaScript", 29, 1, 6, 36
"d:\WorkSpace\Restaurant\app\controllers\department.controller.js", "JavaScript", 51, 0, 7, 58
"d:\WorkSpace\Restaurant\app\controllers\dish.controller.js", "JavaScript", 53, 1, 10, 64
"d:\WorkSpace\Restaurant\app\controllers\dishType.controller.js", "JavaScript", 53, 1, 10, 64
"d:\WorkSpace\Restaurant\app\controllers\employee.controller.js", "JavaScript", 51, 0, 6, 57
"d:\WorkSpace\Restaurant\app\controllers\importInvoice.controller.js", "JavaScript", 31, 0, 3, 34
"d:\WorkSpace\Restaurant\app\controllers\ingredient.controller.js", "JavaScript", 53, 0, 5, 58
"d:\WorkSpace\Restaurant\app\controllers\ingredientType.controller.js", "JavaScript", 53, 0, 5, 58
"d:\WorkSpace\Restaurant\app\controllers\invoice.controller.js", "JavaScript", 31, 0, 3, 34
"d:\WorkSpace\Restaurant\app\controllers\order.controller.js", "JavaScript", 53, 0, 5, 58
"d:\WorkSpace\Restaurant\app\controllers\position.controller.js", "JavaScript", 51, 0, 5, 56
"d:\WorkSpace\Restaurant\app\controllers\promotion.controller.js", "JavaScript", 42, 3, 8, 53
"d:\WorkSpace\Restaurant\app\controllers\provider.controller.js", "JavaScript", 53, 0, 5, 58
"d:\WorkSpace\Restaurant\app\controllers\table.controller.js", "JavaScript", 75, 0, 7, 82
"d:\WorkSpace\Restaurant\app\route\dish.route.js", "JavaScript", 12, 1, 5, 18
"d:\WorkSpace\Restaurant\app\route\dishType.route.js", "JavaScript", 12, 0, 4, 16
"d:\WorkSpace\Restaurant\app\services\account.service.js", "JavaScript", 30, 1, 9, 40
"d:\WorkSpace\Restaurant\app\services\client.service.js", "JavaScript", 93, 5, 22, 120
"d:\WorkSpace\Restaurant\app\services\contact.service.js", "JavaScript", 48, 0, 6, 54
"d:\WorkSpace\Restaurant\app\services\cost.service.js", "JavaScript", 20, 1, 7, 28
"d:\WorkSpace\Restaurant\app\services\department.service.js", "JavaScript", 28, 1, 5, 34
"d:\WorkSpace\Restaurant\app\services\dish.service.js", "JavaScript", 107, 8, 20, 135
"d:\WorkSpace\Restaurant\app\services\dishType.service.js", "JavaScript", 30, 2, 7, 39
"d:\WorkSpace\Restaurant\app\services\employee.service.js", "JavaScript", 128, 6, 25, 159
"d:\WorkSpace\Restaurant\app\services\importInvoice.service.js", "JavaScript", 52, 4, 9, 65
"d:\WorkSpace\Restaurant\app\services\importInvoiceDetail.service.js", "JavaScript", 32, 0, 6, 38
"d:\WorkSpace\Restaurant\app\services\ingredient.service.js", "JavaScript", 28, 0, 5, 33
"d:\WorkSpace\Restaurant\app\services\ingredientType.service.js", "JavaScript", 28, 0, 5, 33
"d:\WorkSpace\Restaurant\app\services\invoice.service.js", "JavaScript", 84, 12, 14, 110
"d:\WorkSpace\Restaurant\app\services\invoiceDetail.service.js", "JavaScript", 11, 0, 2, 13
"d:\WorkSpace\Restaurant\app\services\order.service.js", "JavaScript", 35, 2, 9, 46
"d:\WorkSpace\Restaurant\app\services\orderDetail.service.js", "JavaScript", 35, 0, 7, 42
"d:\WorkSpace\Restaurant\app\services\person.service.js", "JavaScript", 29, 1, 9, 39
"d:\WorkSpace\Restaurant\app\services\position.service.js", "JavaScript", 28, 1, 5, 34
"d:\WorkSpace\Restaurant\app\services\promotion.service.js", "JavaScript", 28, 0, 5, 33
"d:\WorkSpace\Restaurant\app\services\promotionAfterDish.service.js", "JavaScript", 72, 1, 10, 83
"d:\WorkSpace\Restaurant\app\services\promotionAfterInvoice.service.js", "JavaScript", 82, 1, 12, 95
"d:\WorkSpace\Restaurant\app\services\provider.service.js", "JavaScript", 36, 0, 6, 42
"d:\WorkSpace\Restaurant\app\services\table.service.js", "JavaScript", 35, 3, 10, 48
"d:\WorkSpace\Restaurant\app\services\work.service.js", "JavaScript", 37, 3, 7, 47
"d:\WorkSpace\Restaurant\app\utils\mongodb.util.js", "JavaScript", 9, 0, 2, 11
"Total", "-", 2030, 59, 341, 2430
